세대,이름(중문),한국어발음,TMDB_ID,생년월일,사망일,국적,출생지,학력,활동시기,주요수상,필모그래피수,대표작3편,전체필모그래피,TMDB설명,TMDB링크,,
5세대,??歌,천카이거,20640,1952-08-12,,중국,"Beijing, China",베이징영화학원 감독과 1982년졸,1980s-2000s,"칸 황금종려상(패왕별희, 1993), 베를린 은곰상",31,志愿?：浴血和平; 志愿?：存亡之?; ?王?姬,志愿?：浴血和平(2025); 志愿?：存亡之?(2024); 志愿?：雄兵出?(2023); ?津湖之水??(2022); ?津湖(2021); 淑?(2020); 我和我的祖?(2019); 妖猫?(2017); 道士下山(2015); 搜索(2012); ?氏孤?(2010); 梅?芳(2008); 无?(2005); 和?在一起(2002); ??刺秦王(1998); ?月(1996); ?王?姬(1993); ?走?唱(1991); 孩子王(1987); 大?兵(1986); ?土地(1984),??歌出身于??家庭，少年?期???文革和??。1978年考入北京?影?院?演系，1982年??。??的《?土地》?中??影?生?大影?，?第五代?演走向世界奠定基?。,https://www.themoviedb.org/person/20640,,
5세대,???,장이머우,607,1950-04-02,,중국,"Xi'an, Shaanxi Province, China",베이징영화학원 촬영과 1982년졸,1980s-2000s,"베를린 금곰상(홍수수,1988; 추주,1992), 베니스 황금사자상(귀주이야기,1992), 아카데미 외국어영화상 후보 다수",42,第二十?; ?如磐石; ?崖之上,??无?(2026); 第二十?(2024); ?如磐石(2023); ?江?(2023); 狙?手(2022); ?崖之上(2021); 一秒?(2020); 影(2018); ?城(2016); ??(2014); 金陵十三?(2011); 山??之?(2010); ?城???金甲(2006); 千里走??(2005); 十面埋伏(2004); 英雄(2002); 一?都不能少(1999); 我的父?母?(1999); 活着(1994); 秋菊打官司(1992); 大???高高?(1991); 菊豆(1990); ?高粱(1988),???，?影?演，北京????幕式??演。中?大?第五代?演代表人物之一，以充??厚中??土情味的?影著?。2010年??美?耶?大???博士?位。,https://www.themoviedb.org/person/607,,
5세대,田??,톈좡좡,583343,1952-04-04,,중국,"Beijing, China",베이징영화학원 감독과 1982년졸,1980s-2000s,"로카르노 황금표범상(청년노사, 1993)",17,???; ??源; 德拉姆,狼??(2009); ??源(2007); 德拉姆(2004); 小城之春(2002); ???(1994); 大太?李?英(1991); ???年(1988); 鼓??人(1987); ???(1986); ??札撒(1984); 九月(1984); ?象(1982),田??，?演、制片人、演?。著名演?于?和田方之子。1978年考取北京?影?院?演系，???歌、???等同?。第五代?演之一。,https://www.themoviedb.org/person/583343,,
5세대,?建新,황젠신,134026,1954-01-01,,중국,"Xi'an, Shaanxi Province, China",베이징영화학원 1982년졸,1980s-2000s,"금계상 최우수감독상(흑포사건, 1986)",19,1921; 建???; 背?背，???,1921(2021); ???刻(2019); 建???(2011); 建?大?(2009); 求求?，表?我(2005); ??我不在乎(2001); 埋伏(1997); 背?背，???(1994); 五魁(1994); 站直?，??下(1993); ?回(1988); ?位(1986); 黑?事件(1985),?建新，中??影?演。16???，??后在西安?影制片?工作，1983年入?影?院?修。《黑?事件》?1986年政府?、金??。,https://www.themoviedb.org/person/134026,,
5세대,?子牛,우즈뉴,1206522,1952-10-31,,중국,"Leshan, Sichuan, China",베이징영화학원 감독과 1982년졸,1980s-2000s,"베를린 은곰상(만종, 1989)",13,??; 南京大屠?; 英雄?成功,英雄?成功(2001); ?歌(1999); 南京大屠?(1995); 火狐(1993); ??(1989); ??英雄(1988); 最後一個冬日(1986); ?子?(1985); ?血黑谷(1984); 候???(1983),"?子牛，1952년 출생, 四川 ?山. 제5세대 대표 감독 중 한 명. 대표작 《?血黑谷》《??》《南京大屠?》 등.",https://www.themoviedb.org/person/1206522,,
5세대,???,장쥔자오,1184597,1952-01-01,,중국,,베이징영화학원 감독과 1982년졸,1980s-2000s,,7,一?和八?; 弧光; 台北女人,花姐妹?流?(1993); 台北女人(1992); 死?(1990); 弧光(1989); 孤?的??者(1986); 加油??中??！(1985); 一?和八?(1983),"???, 제5세대 감독. 데뷔작 《一?和八?》(1983)은 제5세대 영화의 시작을 알린 작품으로 평가받는다.",https://www.themoviedb.org/person/1184597,,
5세대,李少?,리샤오훙,131078,1955-01-01,,중국,"Suzhou, Jiangsu Province, China",베이징영화학원 감독과 1982년졸,1980s-2000s,,12,?粉; ??是座城; 世?有?,世?有?(2022); 解放·?局?救(2019); ??是座城(2019); ?(2007); 生死劫(2005); ??中的??(2004); ?粉(1996); 四十不惑(1992); 血色?晨(1992); ?蛇??案(1988),"1969년 군 입대, 1978년 북경영화학원 감독과 입학. 1982년 졸업 후 北京?影制片? 감독. 중국 대표 여성 감독 중 한 명.",https://www.themoviedb.org/person/131078,,
5세대,周?文,저우샤오원,96221,1954-01-01,,중국,"Beijing, China",베이징영화학원 감독과 1982년졸,1980s-2000s,"상하이대학생영화제 최우수감독상(청춘무회, 1991)",12,?狂的代价; 二?; 秦?,百合(2010); ?于?的故事(1998); 秦?(1996); 二?(1995); 黑山路(1994); ?路英豪(1993); ??器(1993); ?春??(1992); ?春无悔(1991); ?狂的代价(1989); 最后的?狂(1987); 他?正年?(1987),"周?文，중국 제5세대 영화감독. 감독 외에 각본, 촬영, 작곡도 겸하는 다재다능한 감독.",https://www.themoviedb.org/person/96221,,
5세대,夏?,샤강,4642604,1953-01-01,,중국,,베이징영화학원,1980s-2000s,,1,文姬??,文姬??(2021),夏?，중국 제5세대 감독.,https://www.themoviedb.org/person/4642604,,
5세대,胡?,후메이,112064,1958-01-01,,중국,"Xuzhou, Jiangsu, China",베이징영화학원 감독과,1980s-2000s,,9,孔子; ???之金玉良?; ?京城,???之金玉良?(2024); ?京城(2019); 孔子(2010); 江湖八面?(1991); 情???(1991); 无??手(1988); ????的年代(1987); 女??(1985),???、??歌、田?? 등과 함께 대표적 제5세대 감독. 중국에서 손꼽히는 우수 여성 감독 중 한 명.,https://www.themoviedb.org/person/112064,,
